index,Date,VIX
226,2004-11-23,12.78
227,2004-11-24,12.58
228,2004-11-26,12.76
229,2004-11-29,12.99
230,2004-11-30,13.27
231,2004-12-01,13.1
232,2004-12-02,12.97
233,2004-12-03,13.02
234,2004-12-06,12.95
235,2004-12-07,13.07
236,2004-12-08,13.52
237,2004-12-09,13.52
238,2004-12-10,13.05
239,2004-12-13,12.37
240,2004-12-14,12.55
241,2004-12-15,12.41
242,2004-12-16,12.34
243,2004-12-17,12.34
244,2004-12-20,12.26
245,2004-12-21,11.78
246,2004-12-22,11.42
247,2004-12-23,11.41
248,2004-12-27,11.53
249,2004-12-28,12.25
250,2004-12-29,11.61
251,2004-12-30,12.25
252,2004-12-31,12.42
253,2005-01-03,13.39
254,2005-01-04,14.01
255,2005-01-05,13.98
256,2005-01-06,14.09
257,2005-01-07,13.47
258,2005-01-10,13.92
259,2005-01-11,13.44
260,2005-01-12,13.94
261,2005-01-13,12.7
262,2005-01-14,12.68
263,2005-01-18,13.13
264,2005-01-19,12.47
265,2005-01-20,13.37
266,2005-01-21,13.75
267,2005-01-24,14.38
268,2005-01-25,14.34
269,2005-01-26,13.84
270,2005-01-27,13.5
271,2005-01-28,13.15
272,2005-01-31,13.63
273,2005-02-01,12.8
274,2005-02-02,12.01
275,2005-02-03,12.03
276,2005-02-04,11.97
277,2005-02-07,11.53
278,2005-02-08,11.66
279,2005-02-09,11.52
280,2005-02-10,11.98
281,2005-02-11,11.64
282,2005-02-14,11.28
283,2005-02-15,11.57
284,2005-02-16,11.4
285,2005-02-17,11.25
286,2005-02-18,11.99
287,2005-02-22,12.18
288,2005-02-23,12.94
289,2005-02-24,12.51
290,2005-02-25,11.75
291,2005-02-28,11.89
292,2005-03-01,11.95
293,2005-03-02,12.88
294,2005-03-03,12.28
295,2005-03-04,12.49
296,2005-03-07,12.36
297,2005-03-08,12.06
298,2005-03-09,12.23
299,2005-03-10,12.62
